Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
Ripline,Grand Prix,Yes,1077952,Hotline,Cavan,USA,Oak Hill Ranch,Danish Warmblood,No,NULL,66.56,2012,2023
Dartesch,Grand Prix,No,1105184,Special D,Jazz,Netherlands,R. Gieppmans,KWPN,No,NULL,57.636,2013,2024
Sueno Hit,Grand Prix,Yes,1101035,Sandro Hit,Relevant,Germany,Susanne Schop,Oldenburg,No,NULL,69.599,2013,2024
Fleury's Fanfare,Prix St. Georges,No,1096456,Fleury,Likoto xx,Germany,Adelheid and Peter Traber,Hanoverian,No,NULL,NULL,2012,2016
Dexter,Prix St. Georges,No,1096757,Johnson,Houston,USA,Esther De Jong,KWPN,No,NULL,NULL,2012,2023
Duet MF,I-1,Yes,1072636,Don Principe,Rotspon,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2012,2016
Dancing Hit,Prix St. Georges,No,1101614,Sandro Hit,Burggraaf,Netherlands,G. Marsman,KWPN,No,NULL,NULL,2013,2021
Emilion SA,Grand Prix,No,1103853,Painted Black,Landwind II B,Netherlands,M. Sanders Peeters,KWPN,No,NULL,64.402,2013,2024
Edward,Third Level,No,1106204,United,Damiro,Netherlands,AA Van Der Koppel,KWPN,No,NULL,NULL,2014,2015
Davos MCF,I-1,No,1104371,Don Frederico,Roadster,Germany,Peter Broka,Hanoverian,No,NULL,NULL,2014,2024
Escobar DG,Prix St. Georges,No,1098204,Vivaldi,Sandro Hit,Netherlands,DG Bar Ranch,KWPN,No,NULL,NULL,2013,2024
Quintessential Hit,Grand Prix,Yes,1107061,Quaterback,Sandro Hit,USA,Sherry Smith,Oldenburg,No,NULL,65.998,2014,2024
Exodus,Grand Prix,No,1105699,Raymeister,Goodtimes,USA,Gail Rodecker,KWPN,No,NULL,64.639,2014,2024
Filou,Fourth Level,No,1105760,For Compliment,Dimension,Germany,NULL,Hanoverian,No,NULL,NULL,2014,2024
Fackeltrager,I-2,No,1101320,Fackeltanz,Gribaldi,Netherlands,Franz Plantaz,Oldenburg,No,NULL,NULL,2014,2023
U Rock,Fourth Level,No,1102799,UB 40,Tip Top,USA,Pembroke Farm,Swedish Warmblood,No,NULL,NULL,2013,2018
Scylla,I-1,No,1099825,Quaterback,Furst Igor,USA,Christine Miller,Oldenburg,No,NULL,NULL,2013,2017
Faolan,Grand Prix,Yes,1102403,Freestyle,Weltstern,USA,Bridget Hay,Oldenburg,No,NULL,68.596,2013,2023
Equestricons Et Voila,Grand Prix,No,1099548,Earl,Matcho AA,Germany,Britta Witte,Hanoverian,No,NULL,67.652,2012,2023
Ronaldo,Grand Prix,Yes,1091501,Romanov,Don Schufro,Denmark,Stutteri Troestruplund,Danish Warmblood,No,NULL,66.299,2012,2024
Elfenperfekt,Grand Prix,Yes,1060608,Peron,Zauberklang,USA,Alice Drayer,Trakehner,No,NULL,66.429,2010,2024
Air Marshall,Grand Prix,No,1086815,Sir Sinclair,Daynhart,USA,Shirley McQuillan,KWPN,No,NULL,63.827,2013,2024
Contento Sogno,Grand Prix,Yes,1112052,Florencio I,Ferro,Netherlands,MJH Van Den Corput-Leues,KWPN,No,NULL,68.451,2015,2020
Toy Story,I-1,Yes,1101016,Trento B,Jazz,Netherlands,M. Tijssen,KWPN,No,NULL,NULL,2013,2015
Baximiliana,I-1,Yes,1095097,Johnson,Ferro,Netherlands,Veehandel Musterd B.V.,KWPN,No,NULL,NULL,2012,2020
Jazz Dance,Grand Prix,No,1086697,Johnson,Feinbrand,Germany,Josef Wernke,Oldenburg,No,NULL,63.239,2010,2020
Foley,Grand Prix,Yes,1086099,Fabuleux,Puritano,USA,Barbara Putnam,Hanoverian,No,NULL,61.465,2010,2024
Gallant Reflection HU,I-2,Yes,1111191,Galant du Serein,Rohdiamant,USA,Horses Unlimited,Zweibrucker,No,NULL,NULL,2015,2018
Ellert HB,Grand Prix,Yes,1101296,Johnson,Sydney,Netherlands,Stal Maathuis,KWPN,No,NULL,64.762,2013,2023
Fighting Chance L,Prix St. Georges,No,1108479,First Dance,Hohenstein,USA,Leatherdale Farms,Hanoverian,No,NULL,NULL,2014,2017
Elzarma,Grand Prix,Yes,1106967,UB 40,Rousseau,USA,Kerrin Dunn,KWPN,No,NULL,60.435,2014,2022
Elancourt,I-2,No,1110961,Ampere,Stedinger,Netherlands,D. Damen,KWPN,No,NULL,NULL,2015,2024
Fleur de Lis L,Grand Prix,Yes,1108481,First Dance,De Niro,USA,Leatherdale Farms,Hanoverian,No,NULL,66.855,2014,2022
Bella Notte,Grand Prix,No,1088735,Bugatti Hilltop,Ulft,USA,Darla Dagay,Hanoverian,No,NULL,64.932,2014,2024
Truhana de Ymas,Prix St. Georges,No,1105744,Envidiado de Ymas,Rio II,Spain,Yeguada de Ymas,PRE,No,NULL,NULL,2014,2017
Bel Vedere,Prix St. Georges,No,1111250,Belissimo M,Lauries Crusador xx,Germany,Karin Mattsson,Hanoverian,No,NULL,NULL,2015,2019
Rosalut NHF,Grand Prix,Yes,1089931,Rosenthal,Salut,USA,North Hill Farm,Oldenburg,No,NULL,69.473,2014,2023
Formancier,Grand Prix,Yes,1106278,Furst Romancier,Don Romantic,Netherlands,M.M.P. OPhey-V.O. Berk,KWPN,No,NULL,65.67,2014,2022
GK Don Cesar,I-2,Yes,1112077,Desperados,Manhattan,Germany,Raimund Vorwerk,Westfalen,No,NULL,NULL,2015,2020
Silberpfeil,Grand Prix,Yes,1106756,Silberschmied,Boss,Germany,Dirk Ettwig,Hanoverian,No,NULL,65.627,2014,2024
Candescent,Grand Prix,Yes,1108912,Christ,Falkenstern II,Germany,Willi Helms,Oldenburg,No,NULL,70.669,2014,2023
Furst Aurum,I-1,No,1106104,Furst Romancier,Rohdiamant,Germany,Andreas Wempe,Oldenburg,No,NULL,NULL,2014,2024
Shyriana,Prix St. Georges,No,1104801,Shakespeare RSF,Fabriano,USA,Maurine Swanson,Hanoverian,No,NULL,NULL,2014,2018
Figaro H,Grand Prix,Yes,1107460,Fantasmic,River H,USA,Angela Hecker-Jackson,Zweibrucker,No,NULL,67.498,2014,2021
My Way,FEI 5 Year Old,No,1107595,Sinatra Song,Matcho AA,USA,Theresa Schnell,Oldenburg,No,NULL,NULL,2014,2015
Fifinella GCF,I-2,Yes,1111283,Fred Astair,South Ridge Duncan's Honor,USA,Sharon Garner,Hanoverian/Connemara,No,NULL,NULL,2015,2021
Sidonna MVS,I-1,No,1093090,Sir Donnerhall I,Flemmingh,USA,Jackie Ahl-Eckhaus,Hanoverian,No,NULL,NULL,2014,2023
Boston Strong,I-1,Yes,1109918,Bordeaux,Sandro Hit,Germany,Heinz Luers,Oldenburg,No,NULL,NULL,2015,2024
Falesto D,FEI 5 Year Old,No,1105367,Rubiquil,Hemmingway,Netherlands,NULL,KWPN,No,NULL,NULL,2015,2015
Guateque IV,Grand Prix,Yes,1104730,Layco,Salinero XIII,USA,Coves Darden Farm,PRE,No,NULL,68.215,2013,2024
Flavius MF,Grand Prix,Yes,1088715,Fidertanz,De Niro,USA,Maryanna Haymon,Hanoverian,No,NULL,62.178,2014,2024
De Blasio,Prix St. Georges,Yes,1107907,De Niro,Royal Dance,Germany,J. Lanwerhr,Oldenburg,No,NULL,NULL,2014,2023
Tiko,I-2,Yes,1113252,Tailormade Temptation,Akinos,Denmark,Gitte Sogaard and Poul Hove,Danish Warmblood,No,NULL,NULL,2015,2023
Generosa S,I-1,Yes,1103272,Uphill,Farrington,USA,Sonnenberg Farm,KWPN,No,NULL,NULL,2015,2024
Donatella M,Grand Prix,Yes,1104727,Furstenball,Jazz Time,USA,Marne Martin-Tucker,Oldenburg,No,NULL,72.53,2015,2023
Gladstone,Third Level,No,1112114,Uphill,Londonderry,Netherlands,De Dalhoeve,KWPN,No,NULL,NULL,2015,2018
Angela's Angel,Second Level,No,1112374,Rosenthal,Archipel,USA,Theresa Schnell,Oldenburg,No,NULL,NULL,2015,2021
Galactic Sky,First Level,No,1111624,Negro,Houston,Netherlands,NULL,KWPN,No,NULL,NULL,2015,2016
Diamond Lady MF,USEF 4 Year Old,No,1092762,Don Principe,Royal Diamond,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2015,2015
Heartsong,Third Level,No,1112002,Hohenstein,Furst Heinrich,USA,Judy Yancey,Oldenburg,No,NULL,NULL,2015,2017
Dublin L,Grand Prix,No,1113401,Damsey,Wolkenstein II,USA,Leatherdale Farms,Hanoverian,No,NULL,67.771,2015,2022
Guardian,USEF 4 Year Old,No,1077942,Guarantor,NULL,USA,NULL,Hanoverian,No,NULL,NULL,2015,2015
Frigga,USEF 4 Year Old,No,1111448,Florencio I,Pik Labionics,NULL,NULL,Westfalen,No,NULL,NULL,2015,2015
Benettona,Prix St. Georges,No,1111363,Benetton Dream,Pow Wow,USA,Natalie Hinnemann,Hanoverian,No,NULL,NULL,2015,2024
Bon De Niro P,Grand Prix,Yes,1084255,Son De Niro,Ferro,Netherlands,J. Pleiter,KWPN,No,NULL,61.936,2010,2024
Quincy,Grand Prix,Yes,1100548,Quaterback,Brentano II,USA,Jennifer Mason,Oldenburg,No,NULL,66.854,2013,2024
Cambria,Grand Prix,Yes,1104231,Coriolanus,Telstar,USA,Carbondale Farms,RPSI,No,NULL,60.944,2013,2024
Finesse,Grand Prix,Yes,1100544,Festrausch,Brentano II,USA,Jennifer Mason,Oldenburg,No,NULL,67.417,2013,2023
Hero L,Grand Prix,No,1109737,His Highness,Wolkenstein II,USA,Leatherdale Farms,Hanoverian,No,NULL,60,2014,2021
Davanna,I-1,No,1097640,Rousseau,Welt Hit II,USA,Ada Van de Kolk,KWPN,No,NULL,NULL,2013,2024
Lucky Strike,I-1,Yes,1106541,Lord Laurie,His Highness,Germany,Monika Hartwitch,Hanoverian,Yes,Pan American Games,NULL,2014,2023
Sternlicht Hilltop,Grand Prix,No,1087284,Soliman de Hus,Rascalino,USA,Rachel Ehrlich,Hanoverian,No,NULL,65.906,2014,2023
Leviana,Grand Prix,No,1107738,Londontime,Rubinstein,Germany,Jorg Clasen,Hanoverian,No,NULL,62.337,2014,2022
Willow,I-2,No,1094006,WakeUp,Macht,USA,Jana Wagner,American Warmblood,No,NULL,NULL,2014,2022
Fidens,Grand Prix,Yes,1116122,Tango,United,Netherlands,T.A. Van Dijk,KWPN,No,NULL,65.7,2015,2024
Siri,Grand Prix,Yes,1117554,San Amour,Rubin Royal,Germany,Heinrich Lahmeyer,Hanoverian,No,NULL,60.299,2016,2024
Wind Phaerie HU,I-1,No,1089781,Wild Dance,Pik L,USA,Horses Unlimited,Hanoverian,No,NULL,NULL,2015,2024
Fling,Fourth Level,No,1117170,Sir Donnerhall I,Florencio I,USA,Terri Wood,KWPN,No,NULL,NULL,2016,2018
Desario,Grand Prix,Yes,1114503,De Champ,Rosario,Germany,Gestut Lewitz,Oldenburg,No,NULL,67.823,2015,2023
Giuliano B,Prix St. Georges,No,1117396,Bon Bravour,Elcaro,Netherlands,V.J.M. Van Beek,KWPN,No,NULL,NULL,2016,2020
Sir Amour,Grand Prix,Yes,1117254,San Amour,De Niro,Germany,Mareike Arens,Oldenburg,No,NULL,66.364,2016,2024
Chancellor,Fourth Level,No,1116831,Christ,Wanderbusch,Germany,NULL,Hanoverian,No,NULL,NULL,2016,2021
Au Revoir,Grand Prix,Yes,1118783,Ampere,Liberty M,Germany,Harm Oncken,Oldenburg,No,NULL,67.561,2016,2024
Dante Coeur,Grand Prix,No,1108705,Dante Weltino,Royal Hit,Germany,Marne Martin-Tucker,Oldenburg,No,NULL,60.292,2015,2023
Hannigan L,I-1,No,1113408,Herzensdieb,Pik L,USA,Leatherdale Farms,Hanoverian,No,NULL,NULL,2015,2021
Gaspard de la Nuit,Prix St. Georges,No,1098605,Ravel,Sir Donnerhall I,USA,DG Bar Ranch and Four Winds Farm,KWPN,No,NULL,NULL,2015,2021
Furstin Delia,Grand Prix,No,1113791,Furstenball,Don Schufro,Germany,Gestut Lewitz,Oldenburg,No,NULL,58.734,2015,2024
Delta L,Third Level,No,1113399,Damsey,Weltbekannt,USA,Leatherdale Farms,Hanoverian,No,NULL,NULL,2016,2019
Gerona,Third Level,No,1119709,Tango,Junior STV,Netherlands,Van Geffen,KWPN,No,NULL,NULL,2016,2018
Rebecca RSL,Prix St. Georges,No,1114206,Rousseau,Royal Diamond,USA,Robbie Rice,Hanoverian,No,NULL,NULL,2015,2024
Habanero CWS,I-2,No,1115739,Idocus,OO Seven,USA,Brenda Linman and Craig Stanley,KWPN,No,NULL,NULL,2015,2024
Hero BHS,I-2,No,1119209,Cover Story,Prestige VDL,Netherlands,P.J. Van Beek,KWPN,No,NULL,NULL,2016,2024
Won Million,First Level,No,1110136,Widmark,Fidertanz,USA,Meg Williams,Hanoverian,No,NULL,NULL,2015,2017
Hotshot,Grand Prix,Yes,1117466,Hotline,Spielberg,USA,David Wightman,Oldenburg,No,NULL,66.535,2016,2024
Harvard R,I-1,Yes,1117279,Sir Donnerhall I,Farrington,USA,Michele Seaver,KWPN,No,NULL,NULL,2016,2024
Hartog,I-1,Yes,1118603,Apache,Scandic,Netherlands,J.W.P. Thijssen,KWPN,No,NULL,NULL,2016,2021
Fine Art,I-1,No,1118906,Feedback,De Niro,Germany,Edeltraud Haehn,Rhinelander,No,NULL,NULL,2016,2024
Darkstar,FEI 5 Year Old,No,1118836,Destano,Rotspon,Germany,Heinrich Giesselemann,Hanoverian,No,NULL,NULL,2016,2017
Hotstreak CF,Prix St. Georges,No,1115824,Hotline,Rotspon,USA,Mary Beth Stanton,Hanoverian,No,NULL,NULL,2016,2024
David Bowie MF,I-1,Yes,1098166,Don Principe,Rotspon,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2016,2019
Romeo,I-1,Yes,1098548,Rousseau,Opus,USA,Jill Schabel,Oldenburg,No,NULL,NULL,2015,2022
Harrison SGS,Second Level,No,1105320,Devon Heir,Krack C,USA,Solo Deo Gloria Sporthorses,KWPN,No,NULL,NULL,2016,2024
Florentius,Fourth Level,No,1109794,Falsterbo,Rosario,USA,Juliet Nedell,Hanoverian,No,NULL,NULL,2016,2023
Jagger,Prix St. Georges,Yes,1111241,Apache,Osmium,Netherlands,S. Van Zeeland,KWPN,No,NULL,NULL,2016,2023
Adiah HP,Grand Prix,Yes,1107266,Nico,Anton 343,USA,Sherry Koella,Friesian Cross,No,NULL,65.991,2014,2024
La Belladonna,I-2,Yes,1099661,Hofrat,Donnerhall,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2013,2018
Police,Grand Prix,Yes,1095800,Delegado MAC,Centello III,USA,Coves Darden Farm,PRE,No,NULL,65.315,2012,2018
Kynynmont Gunsmoke's Gideon,Grand Prix,Yes,1094343,Gun Smoke,Greystone McErill,USA,Pam Liddell,Connemara Cross,No,NULL,64.826,2011,2024
Sir Lommel,Grand Prix,Yes,1111516,Sir Donnerhall I,Landioso,Germany,Marion Menck,Hanoverian,No,NULL,64.117,2015,2024
Frankie,Grand Prix,Yes,1107055,Florencio I,A Jungle Prince,Germany,Catherine Haddad Staller,Hanoverian,No,NULL,68.719,2014,2021
Drake,I-1,No,1096936,Devon Heir,Weltklasse,USA,DG Bar Ranch,Hanoverian,No,NULL,NULL,2013,2022
Faro SQF,Grand Prix,Yes,1088446,Fidertanz,Rotspon,USA,Star Quarry Farm,Hanoverian,Yes,Pan American Games,67.756,2012,2024
Fizau,Grand Prix,No,1101749,Fidertanz,Maquisard xx,Germany,E. Eickelman,Westfalen,No,NULL,63.179,2013,2024
Fifi MLW,Grand Prix,Yes,1085204,Fidertanz,Wolkentanz I,USA,Mary Lou Winn,Hanoverian,No,NULL,66.559,2013,2023
Faberge Blue,Grand Prix,Yes,1107486,Contango,Democraat,USA,Marie Emrey,KWPN,No,NULL,65.566,2014,2023
Dimora SCF,Grand Prix,Yes,1080083,Sir Donnerhall I,Ferro,USA,Lana Sneddon,KWPN,No,NULL,63.946,2012,2024
Derk,Grand Prix,Yes,1113787,Wynton,OO Seven,Netherlands,NULL,KWPN,No,NULL,66.877,2015,2023
Ravenna,Grand Prix,Yes,1118634,Sir Donnerhall I,Romanov,Germany,Britta Luebbers,Oldenburg,No,NULL,67.499,2016,2024
Flyby FLF,I-1,Yes,1118229,Falsterbo,Wonderland,USA,Garner Creek Farm,Hanoverian,No,NULL,NULL,2016,2021
Finery,Prix St. Georges,No,1121907,Furstenball,Diamond Hit,Germany,Otto Langemeyer,Oldenburg,No,NULL,NULL,2016,2023
Gaston TF,I-1,Yes,1118565,Uphill,Sandro Hit,USA,Kerrin Dunn,KWPN,No,NULL,NULL,2016,2024
Fauna,I-2,Yes,1117540,Freestyle,Gouverneur,USA,Bridget Hay,Oldenburg,No,NULL,NULL,2016,2022
Deimos 4,I-2,No,1123314,Demirel,Lemon Park,Netherlands,Lotte Lysemose Knudsen,Hanoverian,No,NULL,NULL,2017,2024
G Force W,Grand Prix,No,123276,Bojengel,Dayano,Netherlands,H. Wobbes,KWPN,No,NULL,60.138,2017,2024
Furstentanz,Grand Prix,Yes,1112079,Furstenball,Wolkentanz I,Germany,Johannes Westendarp,Hanoverian,No,NULL,63.331,2015,2024
Les Paul,Fourth Level,No,1112468,Lord Loxley,His Highness,Germany,ZG Sahlmann and Schmitz,Hanoverian,No,NULL,NULL,2015,2017
Grapjas,Prix St. Georges,No,1124971,Zizi Top,Kennedy,Netherlands,T.J.M. Coomans,KWPN,No,NULL,NULL,2017,2021
Camomila MCD,Prix St. Georges,No,1102818,Hielo MOR,Zodiaco II,USA,McDowell Equestrian,PRE,No,NULL,NULL,2015,2021
Darius 555,I-1,Yes,1122542,Don Darius,Boss,Germany,Dirk Ettwig,Hanoverian,No,NULL,NULL,2016,2024
Quintess,I-2,No,1121638,Quaterhall,Wolkenstein II,Germany,Werner Wesch,Hanoverian,No,NULL,NULL,2016,2024
Furstentusch N,Third Level,No,1123209,Furstenball,Ehrentusch,Germany,NULL,Rhinelander,No,NULL,NULL,2017,2018
Bellisambrosso RTH,Prix St. Georges,No,1108592,Belissimo M,Sir Donnerhall I,USA,Alanna Sellers,Westfalen,No,NULL,NULL,2016,2023
High Five,Grand Prix,No,1124138,Apache,Welt Hit II,Netherlands,P. Rulkens,KWPN,No,NULL,65.858,2017,2024
Sandeman,I-2,No,1121959,Sir Donnerhall I,Florencio II,Germany,Eggerk Groenwold,Hanoverian,No,NULL,NULL,2017,2022
Rossi,Grand Prix,Yes,1118112,Romanov,Vivaldi 753,USA,Carol Reed,Swedish Warmblood,No,NULL,65.114,2016,2024
Rosette B,I-2,Yes,1117432,Romanov,De Niro,Germany,Elisabeth Kirschner,Oldenburg,No,NULL,NULL,2016,2024
Elfenspiel,Third Level,No,1121076,Bordeaux,Rohdiamant,Germany,Jurgen Middlebeck,Oldenburg,No,NULL,NULL,2017,2020
Serenade MF,Grand Prix,Yes,1103046,Sir Donnerhall I,Don Principe,USA,Maryanna Haymon,Hanoverian,No,NULL,70.713,2017,2024
Fairouz,I-1,No,1126073,Franziskus,Don Frederico,Germany,Leonie Bramall and Volker Dusche,Oldenburg,No,NULL,NULL,2017,2024
Celebration,USEF 4 Year Old,No,1110260,Coeur d'Amour,Rosenthal,USA,High Point Hanoverian,Oldenburg,No,NULL,NULL,2017,2017
Inferno M,Prix St. Georges,No,1125223,Davino,Jazz,Netherlands,C.F. Van Mook,KWPN,No,NULL,NULL,2017,2023
Debonair MF,Fourth Level,No,1103018,Doctor Wendell MF,Rotspon,USA,Maryanna Haymon,Hanoverian,No,NULL,NULL,2017,2023
SenSation HW,I-2,Yes,1122443,Sunday,Dancier,Germany,Alfons Bergjohann,Westfalen,No,NULL,NULL,2017,2024
Ronin,I-2,No,1117796,Romanov,Sir Donnerhall I,USA,Marcia Boeing,Hanoverian,No,NULL,NULL,2016,2023
Friedrich,Third Level,No,1125516,Furst Romancier,Sir Donnerhall I,Germany,Josef Buter,Oldenburg,No,NULL,NULL,2017,2020
Indorado,Second Level,No,1124896,Davino,Citango,Netherlands,F. Van Arkel,KWPN,No,NULL,NULL,2017,2018
Herzchampionate,Third Level,No,1115130,Hemmingway,Rotspon,USA,Theresa Schnell,Oldenburg,No,NULL,NULL,2017,2022
Icarus TF,FEI Junior,No,1124184,Fairbanks,Havidoff,USA,Kerrin Dunn,KWPN,No,NULL,NULL,2017,2021
C.H.E's Furst Intention,USEF 4 Year Old,No,1125344,Furst Romancier,Prestige Pilot,Germany,Willem Klausing,Hanoverian,No,NULL,NULL,2017,2017
Flirt,Third Level,No,1120160,Furst Piccolo,Abanos,Germany,Friedhelm Frenzen,Rhinelander,No,NULL,NULL,2016,2020
NT Phantom Valor,I-1,No,1105583,Parcival,Wesler,USA,Nicole Trapp,Oldenburg,No,NULL,NULL,2017,2024
Bailarino,Grand Prix,Yes,1111543,Breitling W,De Niro,Germany,Antonius Bockmann,Oldenburg,No,NULL,67.001,2015,2021
Wynston,Grand Prix,Yes,1099517,Wynton,Don Kennedy,USA,Tricia Veley,Oldenburg,No,NULL,63.374,2012,2024
Shaken Not Stirred,I-2,No,1107386,Schumacher,Bormio,Germany,Karl-August Chulte-Varendorff,Westfalen,No,NULL,NULL,2014,2018
Fivestar,Grand Prix,Yes,1096938,Fidertanz,Rouletto,USA,Beate Repenning,Rhinelander,No,NULL,63.015,2012,2024
Elijas Trubador MGF,Grand Prix,No,1093748,Trubadorsmadrigal,Sizzlin Scotch,USA,Laura Venne,Half Arabian,No,NULL,63.187,2011,2022
Straight Horse Zackonik,Grand Prix,Yes,1116749,Zack,Romanov,Denmark,Straight Horse,Danish Warmblood,No,NULL,68.762,2016,2024
Domani,Grand Prix,Yes,1114819,DiMaggio,Feiner Graf,Germany,Hermann Holscher,Hanoverian,No,NULL,62.597,2015,2024
Pik L's Donabella,I-2,No,1099805,Pik L,Don Primero,USA,Horses Unlimited,Hanoverian,No,NULL,NULL,2014,2020
Fein Tanzer,Grand Prix,No,1119317,UB 40,Fidermark,USA,Jill Hardt and Lisa Fein,KWPN,No,NULL,61.555,2016,2024
Rapson,I-2,No,1090131,Rapture R,Warkanson,USA,St. Louis Equestrian Center,Hanoverian,No,NULL,NULL,2014,2024
Sir Beckmann,Prix St. Georges,No,1121871,Sir Donnerhall I,Wolkenstein II,Germany,Norbert and Petra Fokenberg,Hanoverian,No,NULL,NULL,2016,2020
Harvest,Grand Prix,No,1120136,Connaisseur,Ulft,Netherlands,A. Elema,KWPN,No,NULL,72.766,2016,2023
Balia,Grand Prix,Yes,1131004,Belissimo M,Florestan I,Germany,Hermann Roloff,Hanoverian,No,NULL,68.004,2018,2023
Francis HW,Grand Prix,No,1120680,Furst Nymphenburg,Rotspon,Germany,Margret Rosemann,Hanoverian,No,NULL,61.341,2017,2024
Helle Belle Norene,Third Level,No,1128957,Charmeur,Krack C,Netherlands,Stal Selten,KWPN,No,NULL,NULL,2018,2019
Hannah Anda S,I-2,No,1118994,UB 40,Houston,USA,Sonnenberg Farm,KWPN,No,NULL,NULL,2016,2024
Iquem,Grand Prix,Yes,1123765,Charmeur,Moreno,Germany,A. De Baere,KWPN,No,NULL,65.502,2017,2024
Furstin P,FEI 5 Year Old,No,1127334,Furst Piccolo,Diamantio,Germany,Gabriele Wierling,Westfalen,No,NULL,NULL,2017,2018
Flash Dance,FEI 6 Year Old,No,1129216,Furstenball,Sir Donnerhall I,Germany,Nancy Holowesko,Oldenburg,No,NULL,NULL,2018,2019
I'm All In,FEI 7 Year Old,No,1129521,Jazz,Ferro,Netherlands,G. Aalberts,KWPN,No,NULL,NULL,2018,2020
Irintha,I-2,Yes,1131348,Everdale,Tenerife VDL,Netherlands,R. Van Erp,KWPN,No,NULL,NULL,2018,2023
Romulus,Prix St. Georges,Yes,1123514,Romanov,Depardieu,USA,Anna Wood,Oldenburg,No,NULL,NULL,2017,2024
Supremont,I-1,Yes,1126105,San Amour,Carry Gold,Germany,Stall Troff,Oldenburg,No,NULL,NULL,2017,2023
Don Noblesse,I-1,No,1132606,Destano,NULL,Germany,NULL,Oldenburg,No,NULL,NULL,2018,2024
Infinity,Grand Prix,Yes,1129840,Dreamboy,Freestyle,Belgium,Dirk Fiechter,KWPN,No,NULL,68.375,2018,2024
Ilario,I-1,No,1123858,Davino,Ferro,Netherlands,J.J. Snip,KWPN,No,NULL,NULL,2017,2023
MW I'm the Lady Texel,Prix St. Georges,No,1104181,Charmeur,Krack C,Great Britain,MFS Stud,KWPN,No,NULL,NULL,2017,2020
Sole Mio,Grand Prix,Yes,1129247,Stanford,Donnerschwee,Germany,ZG Wencek,Hanoverian,No,NULL,68.614,2018,2024
Jagger,I-2,No,1131458,Apache,Osmium,Netherlands,S. Van Zeeland,KWPN,No,NULL,NULL,2018,2023
Jupiter,USEF 4 Year Old,No,1131021,Jazz,Freestyle,NULL,NULL,KWPN,No,NULL,NULL,2018,2018
Daily Show,I-2,Yes,1129195,Danciano,Stockholm,Germany,Kurt Gravemeier,Hanoverian,No,NULL,NULL,2018,2023
Jaliska,I-1,Yes,1130479,All At Once,Kigali,Netherlands,NULL,KWPN,No,NULL,NULL,2018,2024
Figaro,I-2,Yes,1128636,Furstenball,Show Star,Germany,Frank Schmitz,Westfalen,No,NULL,NULL,2018,2024
Caelius,Third Level,No,1131500,Christ,Buddenbrock,Germany,Eitel Wehrs,Hanoverian,No,NULL,NULL,2018,2024
MSJ Celebrity,I-1,No,1130377,Cennin,Furstenball,Great Britain,Emma Blundell,Oldenburg,No,NULL,NULL,2018,2024
Davos CF,FEI 5 Year Old,No,1110329,Dante Weltino,Rubinstein,USA,Nancy Holowesko,Oldenburg,No,NULL,NULL,2018,2019
Oliana FFF,Third Level,No,1129931,Furstenball,Don Kennedy,USA,Tricia Veley,Oldenburg,No,NULL,NULL,2018,2023
Doblesse,Second Level,No,1131543,Don Noblesse,Elkintot,Germany,NULL,Oldenburg,No,NULL,NULL,2018,2019
Der Swarovski,USEF 4 Year Old,No,1130682,Destano,Swarovski,Germany,Georg Looschen-Kemper,Oldenburg,No,NULL,NULL,2018,2018
Jhocolate R,Third Level,No,1116242,Freestyle,Jazz,USA,Michele Seaver,KWPN,No,NULL,NULL,2018,2020
Genesis,Third Level,No,1132707,Don Caruso,Willemoes,USA,Oak Hill Ranch,Danish Warmblood,No,NULL,NULL,2018,2024
Ferano,Grand Prix,Yes,1117541,Scandic,Parcival,Netherlands,F. Dyk,KWPN,No,NULL,70.236,2016,2021
Vashti,Grand Prix,No,1107698,Nico,Onassis,USA,Sherry Koella,Trakehner Cross,No,NULL,67.815,2014,2024
Eragon VO,Grand Prix,Yes,1134244,Portugal,Babel,Brazil,Victor Oliva,PSL,No,NULL,66.123,2018,2024
Hello Halli,Grand Prix,Yes,1103714,Hochadel,De Niro,Germany,Heinz Saborowski,Hanoverian,No,NULL,64.322,2014,2024
El Xeiquio,Grand Prix,No,1134638,Xeique,Unico II,Portugal,Fernando A. de Mello Costa e Almeida,PSL,No,NULL,64.495,2019,2023
Damon's Fantasy,I-2,Yes,1117163,Damon Hill,Florencio I,Germany,Hans and Britta Scherbring,Oldenburg,No,NULL,NULL,2016,2024
Java Dulce,Grand Prix,Yes,1112447,Jazz,Deemster,Norway,JJ Horses,Danish Warmblood,No,NULL,68.58,2015,2024
Gorgeous,I-2,Yes,1129954,Charmeur,Special D,Netherlands,LCCM van Erp,KWPN,No,NULL,NULL,2019,2022
Fenomenal JW,I-2,Yes,1123934,Furst Romancier,Walt Disney I,USA,Julia Whitfield,Hanoverian,No,NULL,NULL,2017,2023
Duchess L,Grand Prix,Yes,1113402,Damsey,De Niro,USA,Leatherdale Farms,Hanoverian,No,NULL,66.188,2016,2024
