Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
Woodwind,Third Level,No,1050337,Contester,Uniform,USA,Natalie Bryant,KWPN,No,NULL,NULL,2007,2009
Watch Me,I-1,Yes,1057530,Sir Sinclair,Darwin,Netherlands,T.J.M. Coomans,KWPN,No,NULL,NULL,2007,2014
Pikko del Cerro,Grand Prix,Yes,1040300,Pik L,Rohdiamant,USA,Horses Unlimited,Hanoverian,No,NULL,70.337,2007,2016
Watch Me,Second Level,No,1057452,Metall,Montecristo,Netherlands,J. Timmerman,KWPN,No,NULL,NULL,2007,2014
Guilliani,I-2,No,1045673,Widmark,NULL,USA,Oakwood Farm,Hanoverian,No,NULL,NULL,2006,2021
Fuerst Consul,USEF 4 Year Old,No,1062724,Florestan I,Consul,Germany,Michael Beining,Oldenburg,No,NULL,NULL,2007,2007
Winner,I-1,No,1043598,Sir Sinclair,Rossini,Netherlands,NULL,KWPN,No,NULL,NULL,2006,2015
Maximilian of Wurttemberg,Second Level,No,1062237,Matcho AA,NULL,Germany,Karl Rapp,Wurttemberg,No,NULL,NULL,2007,2011
Wunder Woman,I-1,No,1012722,Widmark,Diwan,USA,Meg Williams,Hanoverian,No,NULL,NULL,2007,2014
Blue Hors Lyla,USEF 4 Year Old,No,1013418,Cavan,Rambo,USA,Elizabeth Garfitt,Danish Warmblood,No,NULL,NULL,2007,2007
Liokai,First Level,No,1062001,River H,NULL,NULL,NULL,Zweibrucker,No,NULL,NULL,2007,2010
Wunderland,I-1,No,1012154,Wonderful,Diamont,USA,Pfalz Farm,Hanoverian,No,NULL,NULL,2006,2014
Rebecca,Second Level,No,1063158,Rotspon,Don Pedro,Germany,Herbert Habedank,Hanoverian,No,NULL,NULL,2007,2012
UII,Grand Prix,Yes,1055259,Jazz,Rohdiamant,Netherlands,NULL,KWPN,No,NULL,67.529,2006,2011
Settino,I-1,Yes,1018798,Jetset-D,Le Val Blanc xx,Netherlands,Family Van Raamsdor,KWPN,No,NULL,NULL,2004,2017
Dolomit,Grand Prix,Yes,1033718,De Niro,Rohdiamant,Belgium,Gilbert Blaise,Oldenburg,No,NULL,61.617,2006,2016
Rhett,Grand Prix,Yes,1061467,R. Johnson,Hendo,USA,Shirley McQuillan,KWPN,No,NULL,66.488,2007,2019
Don Devere,I-1,Yes,1004060,Don Schufro,Larinero,Germany,Fritz Linse,Oldenburg,No,NULL,NULL,2003,2012
Genuine Gem,Grand Prix,Yes,1042411,Gold Luck,Armin,USA,Rhonda Hermanek,Hanoverian,No,NULL,62.225,2005,2019
Troy,I-1,Yes,1062206,Cabochon,Apollonios xx,Netherlands,G.W. Van Norel,KWPN,No,NULL,NULL,2007,2015
Amidala,Grand Prix,Yes,1031631,A Jungle Prince,World Cup I,Germany,Hans-Heinrich Mueller,Hanoverian,No,NULL,63.224,2005,2017
Weltino's Magic,Grand Prix,Yes,1066325,Weltino,Diamond Boy,Germany,Willi Holter,Westfalen,No,NULL,64.147,2007,2016
Rohmero,Grand Prix,No,1062674,Romancero H,Walldorf,Germany,Henning Klatte,Hanoverian,No,NULL,67.232,2007,2018
Leoluigi,Grand Prix,Yes,1071104,Landor S,Calypso II,Germany,Gerhard Wehrs,Hanoverian,No,NULL,63.713,2008,2023
Flaming Heart,Prix St. Georges,No,1054394,Florestan I,Weltmeyer,Germany,Wilfred Becker,Westfalen,No,NULL,NULL,2007,2011
Sauvignon,Grand Prix,Yes,1060957,Sandro Hit,De Niro,Germany,Johannes Toennies,Oldenburg,No,NULL,61.739,2007,2024
Solei,Grand Prix,Yes,1056821,Aljano,Lorentin I,Germany,Maria Petzwold,Holsteiner,No,NULL,61.67,2007,2014
Winsor Rox,Grand Prix,No,1091636,San Remo,Julio Mariner xx,Netherlands, PPW Janssen,KWPN,No,NULL,60.653,2008,2021
Ronatella S,I-1,No,1055478,Rotspon,Raphael,Germany,Dieter Loch,Hanoverian,No,NULL,NULL,2007,2013
Lucky Girl BC,Prix St. Georges,No,1067883,Londonderry,Weserlust,Germany,Fritz Badenhoop-Clausen,Hanoverian,No,NULL,NULL,2008,2019
Wish,I-1,Yes,1062007,Flemmingh,Voltaire,Netherlands,J. Van Wanroy,KWPN,No,NULL,NULL,2007,2017
Matinee SF,Grand Prix,Yes,1065779,Margue H,Davignon I,Germany,Harm and Ingela Thormanhlen,Hanoverian,No,NULL,60.568,2007,2022
Wisdom MVS,Grand Prix,Yes,1039297,Farrington,Flemmingh,USA,Jackie Ahl-Eckhaus,KWPN,No,NULL,62.854,2007,2018
Wiseguy,I-1,No,1068980,Osmium,Zeoliet,Netherlands,J. and P.J. Schouten-Hey,KWPN,No,NULL,NULL,2008,2015
Wencenza,I-1,Yes,1055950,Contango,Juventus,USA,Beth Godwin,KWPN,No,NULL,NULL,2006,2015
Wersace,Second Level,No,1044581,Weltmeyer,Gelria,Canada,Jennie Hrobelsky,Hanoverian,No,NULL,NULL,2008,2011
Exemplaar,Third Level,No,1050038,Rousseau,Falco,Netherlands,B.J. Brommer,KWPN,No,NULL,NULL,2007,2010
Selten HW,Grand Prix,Yes,1031805,Sandro Hit,Hohenstein,USA,Irene Hoeflich-Wiederhold,Hanoverian,Yes,Olympic Games and World Equestrian Games,71.1,2008,2020
Zatino H,Grand Prix,Yes,1067579,Sir Sinclair,Equador,Netherlands,J.A. De Hass,KWPN,No,NULL,64.288,2008,2016
Donzi,Second Level,No,1073349,Don Frederico,Weltmeyer,Germany,Walter Willhaus,Hanoverian,No,NULL,NULL,2008,2015
Ziggouras-Tar,Fourth Level,No,1057533,Sir Sinclair,Krack C,Netherlands,NULL,KWPN,No,NULL,NULL,2008,2014
Fuerst River H,FEI 5 Year Old,No,1053760,Fuerst Gotthard,River H,USA,Angela Hecker-Jackson,Rhinelander,No,NULL,NULL,2008,2009
Richmond HL,Grand Prix,Yes,1070537,Rotspon,Davignon I,USA,Lucile Broadley,Hanoverian,No,NULL,64.55,2008,2024
Rastino,I-1,No,1073095,Rotspon,Lancier,Germany,Karl-Hermann Feldmann,Hanoverian,No,NULL,NULL,2008,2015
Faya,First Level,No,1068109,Fabriano,Natiello,Germany,Helmut Rieche,Hanoverian,No,NULL,NULL,2008,2013
Contigo,Prix St. Georges,No,1072868,NULL,NULL,NULL,NULL,Hanoverian,No,NULL,NULL,2008,2022
Rorick,Third Level,No,1031938,Rienzi,Donnerhall,USA,Marefield Meadows,Hanoverian,No,NULL,NULL,2008,2017
Cosmopolitan,FEI 5 Year Old,No,1035139,Connery,Weltruhm,Germany,Jurgen Koetter,Hanoverian,No,NULL,NULL,2008,2009
Conquestador,Second Level,No,1068977,Conteur,Ramiro's Son II,Germany,Gerhard Dustmann,Hanoverian,No,NULL,NULL,2008,2013
Revelle,Grand Prix,No,1058631,Rosenthal,Lessing,USA,Alicia Baranowski,Oldenburg,No,NULL,58.381,2008,2022
Sirius,Fourth Level,No,1073378,Sandro Hit,Rubinstein,Germany,Gerd Burges,Oldenburg,No,NULL,NULL,2008,2017
Delauren,Third Level,No,1066614,Diamond Hit,Rubinstein,USA,Lloyd Landkamer,Oldenburg,No,NULL,NULL,2008,2014
Zandor,Grand Prix,Yes,1055286,Florencio I,Amulet,Netherlands,J.B.F. Heemink,KWPN,No,NULL,68.574,2008,2013
Don Bailey,I-2,Yes,1078443,Donnerhall,Pik Bube,Germany,Renate Lange,Oldenburg,No,NULL,NULL,2009,2012
Chicago,Grand Prix,Yes,1075699,Calido,Corleone,Germany,Claus-Wilhem Kuehl,Holsteiner,No,NULL,64.085,2008,2017
Rower BE,Grand Prix,Yes,1062029,Rubioso N,Argwohn,Germany,Ingrid Berger,Rhinelander,No,NULL,59.663,2007,2021
Taison,Grand Prix,Yes,1031515,Negro,Romeo,Netherlands,J.Sips,KWPN,No,NULL,64.521,2005,2011
Ranko,Grand Prix,Yes,1056927,Rajko,Julio Mariner xx,Germany,Wilhelm Hopman,Deutches Reitpferd,No,NULL,64.91,2007,2016
Redondo,I-1,Yes,1056428,Rotspon,Eisenherz I,Germany,Dieter Hartleff,Hanoverian,No,NULL,NULL,2007,2011
Manhattan,Grand Prix,No,1047294,Marengo,Diamond,Denmark,Lise Skovlund Nissen,Danish Warmblood,No,NULL,65.054,2006,2016
